1	African Forest Elephant - 0	All about African Forest Elephant - 0	wltz-00	2020-06-24 22:14:55.794442	2020-06-24 22:14:55.79347	100	EXTERNAL	PRODUCTION		A	waltz	HIGH	f	ACTIVE	\N	\N	\N
2	Basset Hound - 1	All about Basset Hound - 1	wltz-01	2020-06-24 22:14:55.815408	2020-06-24 22:14:55.814962	300	EUC	RETIRED		A	waltz	HIGH	f	ACTIVE	\N	\N	\N
3	Labradoodle - 2	All about Labradoodle - 2	wltz-02	2020-06-24 22:14:55.821891	2020-06-24 22:14:55.821538	70	INTERNALLY_HOSTED	PRODUCTION		A	waltz	HIGH	f	ACTIVE	\N	\N	\N
4	Dolphin - 3	All about Dolphin - 3	wltz-03	2020-06-24 22:14:55.832129	2020-06-24 22:14:55.831615	90	EUC	PRODUCTION		G	waltz	NONE	f	ACTIVE	\N	\N	\N
5	Horned Frog - 4	All about Horned Frog - 4	wltz-04	2020-06-24 22:14:55.839318	2020-06-24 22:14:55.838788	180	INTERNALLY_HOSTED	PRODUCTION		R	waltz	HIGH	f	ACTIVE	\N	\N	\N
6	Grizzly Bear - 5	All about Grizzly Bear - 5	wltz-05	2020-06-24 22:14:55.848516	2020-06-24 22:14:55.847959	150	CUSTOMISED	PRODUCTION		G	waltz	HIGH	f	ACTIVE	\N	\N	\N
7	Earwig - 6	All about Earwig - 6	wltz-06	2020-06-24 22:14:55.855096	2020-06-24 22:14:55.854643	190	THIRD_PARTY	PRODUCTION		G	waltz	HIGH	f	ACTIVE	\N	\N	\N
8	Siberian - 7	All about Siberian - 7	wltz-07	2020-06-24 22:14:55.864493	2020-06-24 22:14:55.863898	180	EXTERNAL	PRODUCTION		G	waltz	HIGH	f	ACTIVE	\N	\N	\N
9	Australian Terrier - 8	All about Australian Terrier - 8	wltz-08	2020-06-24 22:14:55.873345	2020-06-24 22:14:55.872882	130	CUSTOMISED	PRODUCTION		A	waltz	HIGH	f	ACTIVE	\N	\N	\N
10	Bull Shark - 9	All about Bull Shark - 9	wltz-09	2020-06-24 22:14:55.880475	2020-06-24 22:14:55.880052	130	IN_HOUSE	DEVELOPMENT		A	waltz	UNKNOWN	f	ACTIVE	\N	\N	\N
11	Pygmy Marmoset - 10	All about Pygmy Marmoset - 10	wltz-010	2020-06-24 22:14:55.888647	2020-06-24 22:14:55.888231	190	EXTERNAL	RETIRED		G	waltz	HIGH	f	ACTIVE	\N	\N	\N
12	Goat - 11	All about Goat - 11	wltz-011	2020-06-24 22:14:55.897218	2020-06-24 22:14:55.896459	140	THIRD_PARTY	PRODUCTION		R	waltz	HIGH	f	ACTIVE	\N	\N	\N
13	Thorny Devil - 12	All about Thorny Devil - 12	wltz-012	2020-06-24 22:14:55.904442	2020-06-24 22:14:55.904089	100	EXTERNAL	PRODUCTION		G	waltz	HIGH	f	ACTIVE	\N	\N	\N
