1616588360149	2	76	LOGICAL_DATA_FLOW	Hello
cd660ab4-fbb6-47dc-90a3-8851dcb931de	3	47	APPLICATION	sdvxc
d38566e6-47c4-4c85-a835-25356f895790	4	10	APPLICATION	dsds
60e9bcbf-3373-4d13-b5ce-52d1e7e078a3	5	94	APPLICATION	demo
df30c114-bc4a-4e58-a091-af744644cfdd	6	94	APPLICATION	demo
309d7d9a-6e45-472b-ba19-4a390a7ec03d	7	94	APPLICATION	demo
f07f4751-ae67-4912-9a38-0f60952b3bdf	8	94	APPLICATION	test
0f9b6256-8f75-4fea-a055-47df947f12a4	1	29	APPLICATION	example
1593033968575	1	82	APPLICATION	This is an example diagram
f8a3cb8a-02ad-41d1-82e0-0810800f455d	9	90	APPLICATION	qweeqw
8d279bcc-0b02-4f65-8c86-2e2f86951a85	10	5	APPLICATION	test
\.


